root	clade_name
1	Homo
2	Pan
3	Gorilla
4	Ponginae
5	Hylobatidae
6	Cercopithecoidea
7	Platyrrhini
8	Tarsiiformes
9	Strepsirrhini
10	Dermoptera
11	Scandentia
12	Glires
13	Laurasiatheria
14	Afrotheria
15	Metatheria
16	Prototheria
17	Sauropsida
18	Amphibia
19	Coelacanthimorpha
20	Actinopterygii
21	Tunicata
22	Cephalochordata
23	Ambulacraria
24	Ecdysozoa
25	Spiralia
26	Cnidaria
27	Placozoa
28	Porifera
29	Ctenophora
30	Choanoflagellata
31	Fungi
32	Amoebozoa
33	Viridiplantae
34	Discoba
35	Rhodophyta
36	SAR
37	Metamonada
