lca	taxid	taxid_order
1	9606	1
2	9598	2
2	9597	3
3	9593	4
4	9601	5
5	61853	6
6	9555	7
6	9544	8
6	9541	9
6	60711	10
6	61622	11
7	9483	12
7	27679	13
8	9478	14
9	30611	15
10	482537	16
11	246437	17
12	9986	18
12	9978	19
12	10181	20
12	885580	21
12	10141	22
12	10160	23
12	34839	24
12	10116	25
12	10090	26
12	10036	27
12	10029	28
12	79684	29
12	10042	30
12	1026970	31
12	51337	32
12	43179	33
13	9365	34
13	42254	35
13	9694	36
13	9685	37
13	9612	38
13	9668	39
13	9707	40
13	9713	41
13	9646	42
13	29073	43
13	9767	44
13	118797	45
13	9739	46
13	9733	47
13	89462	48
13	9913	49
13	72004	50
13	9940	51
13	59538	52
13	9823	53
13	132908	54
13	9402	55
13	29078	56
13	109478	57
13	59463	58
13	225400	59
14	9361	60
14	9778	61
14	9785	62
14	9371	63
14	185453	64
14	28737	65
14	9818	66
15	13616	67
15	9305	68
15	9315	69
16	9258	70
17	176946	71
17	28377	72
17	9031	73
17	59894	74
17	181119	75
17	8932	76
17	128390	77
17	52644	78
17	38654	79
17	8496	80
17	13735	81
17	8479	82
17	8469	83
18	8364	84
19	7897	85
20	7918	86
20	8083	87
20	48698	88
20	8081	89
20	8090	90
20	144197	91
20	32507	92
20	8128	93
20	106582	94
20	303518	95
20	8153	96
20	244447	97
20	69293	98
20	215358	99
20	31033	100
20	8049	101
20	8010	102
20	7955	103
20	7994	104
21	51511	105
21	7719	106
22	7739	107
23	10224	108
23	7668	109
24	126957	110
24	6669	111
24	7425	112
24	132113	113
24	7460	114
24	103372	115
24	12957	116
24	69319	117
24	7070	118
24	7176	119
24	7159	120
24	43151	121
24	7165	122
24	7370	123
24	7213	124
24	7222	125
24	7230	126
24	7244	127
24	7260	128
24	7234	129
24	7237	130
24	7227	131
24	7220	132
24	7245	133
24	7217	134
24	7091	135
24	13037	136
24	34740	137
24	121225	138
24	13249	139
24	7029	140
24	136037	141
24	6334	142
24	1561998	143
24	135651	144
24	6239	145
24	6238	146
24	31234	147
24	281687	148
24	34506	149
24	6326	150
24	7209	151
24	32264	152
24	6412	153
24	6500	154
25	6183	155
25	6211	156
26	6087	157
26	45351	158
27	10228	159
28	400682	160
29	27923	161
30	81824	162
30	72019	163
30	192875	164
30	529818	165
30	55529	166
30	691883	167
30	946362	168
31	109760	169
31	109871	170
31	5270	171
31	120017	172
31	72558	173
31	84751	174
31	1392244	175
31	327079	176
31	245174	177
31	5217	178
31	5207	179
31	552467	180
31	82508	181
31	5334	182
31	5341	183
31	5346	184
31	221103	185
31	80637	186
31	85982	187
31	65672	188
31	104355	189
31	40492	190
31	984962	191
31	208960	192
31	202698	193
31	40483	194
31	160860	195
31	148960	196
31	5297	197
31	203908	198
31	34349	199
31	5286	200
31	866546	201
31	4899	202
31	4897	203
31	263815	204
31	42068	205
31	5011	206
31	4896	207
31	13349	208
31	430498	209
31	337075	210
31	39416	211
31	310453	212
31	35725	213
31	101162	214
31	53485	215
31	45130	216
31	5017	217
31	5016	218
31	45151	219
31	93612	220
31	5022	221
31	13684	222
31	85929	223
31	1047171	224
31	83344	225
31	430998	226
31	64363	227
31	97096	228
31	226899	229
31	61273	230
31	29908	231
31	223192	232
31	5147	233
31	5141	234
31	40127	235
31	209285	236
31	38033	237
31	5145	238
31	35720	239
31	78579	240
31	148304	241
31	29850	242
31	318829	243
31	29875	244
31	63577	245
31	51453	246
31	5111	247
31	92637	248
31	568076	249
31	72228	250
31	176275	251
31	73501	252
31	101028	253
31	5518	254
31	117187	255
31	5127	256
31	5507	257
31	140110	258
31	1173701	259
31	710243	260
31	5465	261
31	31870	262
31	80884	263
31	474922	264
31	27337	265
31	1051613	266
31	393283	267
31	40559	268
31	34373	269
31	101852	270
31	5180	271
31	655981	272
31	698440	273
31	63418	274
31	5551	275
31	63400	276
31	33188	277
31	63402	278
31	63405	279
31	5501	280
31	199306	281
31	1048829	282
31	121759	283
31	5039	284
31	5037	285
31	264951	286
31	37727	287
31	28564	288
31	40384	289
31	36630	290
31	162425	291
31	5062	292
31	5059	293
31	33178	294
31	5061	295
31	746128	296
31	5057	297
31	1108849	298
31	69781	299
31	36651	300
31	61459	301
31	43229	302
31	43228	303
31	5970	304
31	1182553	305
31	293227	306
31	364733	307
31	470704	308
31	86049	309
31	4959	310
31	4929	311
31	45596	312
31	340170	313
31	4920	314
31	5476	315
31	5482	316
31	273371	317
31	36914	318
31	42374	319
31	5479	320
31	5480	321
31	4924	322
31	4922	323
31	588726	324
31	432096	325
31	27289	326
31	27288	327
31	4932	328
31	113608	329
31	1071379	330
31	36033	331
31	4950	332
31	4956	333
31	5478	334
31	45285	335
31	33169	336
31	28985	337
31	381046	338
31	1005962	339
31	1041607	340
31	4909	341
31	4952	342
31	36080	343
31	28583	344
31	588596	345
31	78898	346
31	936053	347
32	46681	348
32	5786	349
32	44689	350
32	5759	351
33	296587	352
33	242159	353
33	70448	354
33	41875	355
33	38833	356
33	3067	357
33	3055	358
33	248742	359
33	3075	360
33	554065	361
33	3218	362
33	88036	363
33	4641	364
33	4533	365
33	4538	366
33	4536	367
33	4529	368
33	40148	369
33	65489	370
33	40149	371
33	4537	372
33	77586	373
33	4513	374
33	4572	375
33	4565	376
33	37682	377
33	15368	378
33	38727	379
33	4558	380
33	4577	381
33	4555	382
33	42345	383
33	4432	384
33	29760	385
33	71139	386
33	29730	387
33	3641	388
33	90675	389
33	81985	390
33	264402	391
33	3702	392
33	59689	393
33	72658	394
33	3711	395
33	3712	396
33	50452	397
33	72664	398
33	28532	399
33	3649	400
33	2711	401
33	85681	402
33	3659	403
33	3656	404
33	3847	405
33	3885	406
33	3880	407
33	3827	408
33	225117	409
33	3750	410
33	3760	411
33	102107	412
33	57918	413
33	981085	414
33	4006	415
33	3983	416
33	3988	417
33	3694	418
33	161934	419
33	4155	420
33	4098	421
33	4096	422
33	4113	423
33	4081	424
33	218851	425
33	13333	426
34	227086	427
34	5762	428
34	5722	429
34	5693	430
34	5691	431
34	5679	432
34	5671	433
34	5664	434
35	130081	435
35	45157	436
36	5911	437
36	5888	438
36	5932	439
36	68886	440
36	5874	441
36	5872	442
36	5875	443
36	5860	444
36	5855	445
36	5827	446
36	5850	447
36	5825	448
36	5821	449
36	5833	450
36	110365	451
36	5865	452
36	5808	453
36	5811	454
36	29176	455
36	99158	456
36	112098	457
36	115417	458
36	36331	459
36	272952	460
36	325452	461
36	4787	462
36	4792	463
36	164328	464
36	67593	465
36	65071	466
36	42099	467
36	653948	468
36	157072	469
36	44056	470
36	2850	471
36	159749	472
36	35128	473
36	2880	474
36	2903	475
37	5741	476
