entrez_id	annotation
10312	vesicle
10497	vesicle
10814	vesicle
10815	vesicle
112755	vesicle
1173	vesicle
1175	vesicle
1211	vesicle
1212	vesicle
1213	vesicle
127124	vesicle
140679	vesicle
155066	vesicle
160	vesicle
161	vesicle
163	vesicle
1759	vesicle
1785	vesicle
2054	vesicle
22999	vesicle
23025	vesicle
23545	vesicle
245972	vesicle
245973	vesicle
246213	vesicle
26052	vesicle
339302	vesicle
440279	vesicle
4905	receptor-associated
50617	vesicle
51382	vesicle
51606	vesicle
523	vesicle
525	vesicle
526	vesicle
527	vesicle
528	vesicle
529	vesicle
533	vesicle
534	vesicle
535	vesicle
57030	vesicle
57084	vesicle
5864	vesicle
594855	vesicle
6505	clearance
6506	clearance
6507	clearance
6511	clearance
6512	clearance
6529	clearance
6530	vesicle
6531	clearance
6532	clearance
6534	vesicle
6536	vesicle
6538	clearance
6539	vesicle
6540	clearance
6570	vesicle
6571	vesicle
6572	vesicle
6616	vesicle
6804	vesicle
6809	vesicle
6812	vesicle
6844	vesicle
6857	vesicle
773	signaling
774	signaling
8218	vesicle
8775	vesicle
8992	vesicle
90423	vesicle
9114	vesicle
9152	vesicle
9550	vesicle
10681	g-protein
107	signaling
108	signaling
109	signaling
10991	vesicle
111	signaling
112	signaling
113	signaling
114	signaling
115	signaling
116443	ionotropic receptor
116444	ionotropic receptor
123745	signaling
156	signaling
157	signaling
1742	receptor-associated
196883	signaling
22941	receptor-associated
23236	signaling
255189	signaling
27165	synthesis
2744	synthesis
2752	degradation
2770	g-protein
2771	g-protein
2773	g-protein
2775	g-protein
2776	g-protein
2778	g-protein
2782	g-protein
2783	g-protein
2784	g-protein
2785	g-protein
2786	g-protein
2787	g-protein
2788	g-protein
2790	g-protein
2791	g-protein
2792	g-protein
2793	g-protein
283748	signaling
2890	ionotropic receptor
2891	ionotropic receptor
2892	ionotropic receptor
2893	ionotropic receptor
2897	ionotropic receptor
2898	ionotropic receptor
2899	ionotropic receptor
2900	ionotropic receptor
2901	ionotropic receptor
2902	ionotropic receptor
2903	ionotropic receptor
2904	ionotropic receptor
2905	ionotropic receptor
2906	ionotropic receptor
2911	metabotropic receptor
2912	metabotropic receptor
2913	metabotropic receptor
2914	metabotropic receptor
2915	metabotropic receptor
2916	metabotropic receptor
2917	metabotropic receptor
2918	metabotropic receptor
3708	signaling
3709	signaling
3710	signaling
3760	excitability
50944	receptor-associated
51764	g-protein
5321	signaling
5330	signaling
5331	signaling
5332	signaling
5337	signaling
5338	signaling
54331	g-protein
54407	transport
5530	signaling
5532	signaling
5533	signaling
5534	signaling
5535	signaling
5566	signaling
5567	signaling
5568	signaling
5578	signaling
5579	signaling
5582	signaling
5594	signaling
5595	signaling
55970	g-protein
59345	g-protein
7220	signaling
775	signaling
776	signaling
81539	transport
8605	signaling
9229	receptor-associated
94235	g-protein
9454	receptor-associated
9455	receptor-associated
9456	receptor-associated
10000	signaling
10488	signaling
1103	synthesis
1128	metabotropic receptor
1129	metabotropic receptor
1131	metabotropic receptor
1132	metabotropic receptor
1133	metabotropic receptor
1136	ionotropic receptor
1137	ionotropic receptor
1141	ionotropic receptor
1143	ionotropic receptor
1385	signaling
146850	signaling
148327	signaling
207	signaling
208	signaling
2353	signaling
23533	signaling
2534	signaling
2767	g-protein
3265	signaling
3717	signaling
3759	excitability
3761	excitability
3763	excitability
3768	excitability
3770	excitability
3784	excitability
3785	excitability
3786	excitability
3845	signaling
43	clearance degradation
468	signaling
4893	signaling
5290	signaling
5291	signaling
5293	signaling
5294	signaling
5295	signaling
5296	signaling
5604	signaling
56479	excitability
596	signaling
60482	transport
64764	signaling
778	signaling
779	signaling
814	signaling
815	signaling
816	signaling
817	signaling
818	signaling
84699	signaling
8503	signaling
8973	ionotropic receptor
90993	signaling
9132	excitability
9586	signaling
10411	signaling
121278	synthesis
1557	signaling
1558	signaling
1559	signaling
1562	signaling
1565	signaling
1573	signaling
1644	synthesis
170572	ionotropic receptor
1843	signaling
200909	ionotropic receptor
239	signaling
240	signaling
242	signaling
246	signaling
247	signaling
2560	ionotropic receptor
2561	ionotropic receptor
2562	ionotropic receptor
260293	signaling
285242	ionotropic receptor
3350	metabotropic receptor
3351	metabotropic receptor
3352	metabotropic receptor
3354	metabotropic receptor
3355	metabotropic receptor
3356	metabotropic receptor
3357	metabotropic receptor
3358	metabotropic receptor
3359	ionotropic receptor
3360	metabotropic receptor
3361	metabotropic receptor
3362	metabotropic receptor
3363	metabotropic receptor
351	signaling
369	signaling
3751	excitability
3762	excitability
3765	excitability
3781	excitability
4128	degradation
4129	degradation
5742	signaling
5743	signaling
5894	signaling
673	signaling
7166	synthesis
836	signaling
9177	ionotropic receptor
10243	receptor-associated
11337	receptor-associated
11345	receptor-associated
18	degradation
200959	ionotropic receptor
23710	receptor-associated
2550	metabotropic receptor
2554	ionotropic receptor
2555	ionotropic receptor
2556	ionotropic receptor
2557	ionotropic receptor
2558	ionotropic receptor
2559	ionotropic receptor
2563	ionotropic receptor
2564	ionotropic receptor
2565	ionotropic receptor
2566	ionotropic receptor
2567	ionotropic receptor
2568	ionotropic receptor
2569	ionotropic receptor
2570	ionotropic receptor
2571	synthesis
2572	synthesis
5334	signaling
55879	ionotropic receptor
57468	excitability
66008	signaling
6714	signaling
9001	signaling
92745	transport
9568	metabotropic receptor
1312	degradation
1386	signaling
1388	signaling
1432	signaling
163688	signaling
1812	metabotropic receptor
1813	metabotropic receptor
1814	metabotropic receptor
1815	metabotropic receptor
1816	metabotropic receptor
220074	degradation
2774	g-protein
28227	signaling
2931	signaling
2932	signaling
3798	signaling
3799	signaling
3800	signaling
406	signaling
409	signaling
50632	receptor-associated
51806	signaling
5499	signaling
5500	signaling
5501	signaling
55012	signaling
5515	signaling
5516	signaling
5518	signaling
5519	signaling
5520	signaling
5521	signaling
5522	signaling
5523	signaling
5525	signaling
5526	signaling
5527	signaling
5528	signaling
5529	signaling
55844	signaling
5599	signaling
5600	signaling
5601	signaling
5602	signaling
5603	signaling
6300	signaling
6323	excitability
7054	synthesis
810	signaling
84152	signaling
91860	signaling
9575	signaling
9296	vesicle
100137049	signaling
85358	receptor-associated
8681	signaling
1139	ionotropic receptor
107987478	vesicle
107987479	vesicle
1564	vesicle
801	signaling
805	signaling
808	signaling
