cog_id	timetree_root
KOG1325	2
NOG10751	2
KOG3971	2
KOG3584	2
COG0733	2
KOG4220	2
KOG3645	2
KOG4571	2
NOG15513	2
KOG3573	2
KOG4440	2
KOG0033	2
KOG4375	2
NOG241704	2
NOG232470	2
KOG3865	2
KOG3646	2
KOG4119	2
KOG0709	2
KOG4360	2
KOG1056	2
KOG0986	2
KOG3717	2
KOG4637	2
NOG14945	2
NOG25110	2
KOG3656	2
KOG3609	2
NOG03678	2
KOG4295	2
COG1301	2
KOG1028	2
KOG4728	2
NOG02068	2
KOG0665	2
KOG3827	2
KOG3644	2
KOG1055	3
KOG3629	3
KOG4031	3
KOG4343	3
KOG2060	3
KOG0093	3
KOG0696	3
KOG3764	3
KOG1011	3
NOG01633	4
KOG3500	4
KOG1414	4
NOG259214	4
KOG3065	4
KOG3561	4
KOG1772	4
KOG2408	4
KOG3684	5
KOG3533	5
KOG1052	5
COG2066	6
COG0591	7
COG4122	7
COG2124	7
COG0174	7
COG0076	7
COG1390	7
COG1231	7
COG5038	7
COG3186	7
COG0160	7
COG0303	7
KOG1654	7
COG2272	7
COG1226	7
KOG0082	7
KOG0286	7
COG1502	7
KOG2532	7
KOG0169	7
KOG2301	7
KOG0032	8
COG5158	8
KOG0211	8
KOG0938	8
COG1394	8
COG5096	8
COG1527	8
COG5126	8
COG0194	8
COG1156	8
COG2126	8
COG0814	8
COG2453	8
COG5127	8
COG0699	8
COG1155	8
COG0515	8
COG5074	8
COG5059	8
COG1436	8
KOG0616	8
COG5032	8
COG4354	8
COG5170	8
COG5030	8
COG0666	8
COG5143	8
KOG0985	8
COG0464	8
COG0636	8
COG0639	8
KOG0660	8
KOG2085	8
COG1100	8
COG0531	8
COG5231	8
KOG0581	8
COG1269	8
KOG2562	8
KOG1586	8
COG2114	8
