cog_id	timetree_root
NOG259214	3
NOG241704	6
NOG03678	6
NOG15513	6
NOG10751	6
NOG232470	7
NOG14945	8
NOG25110	11
KOG3645	12
KOG3644	12
KOG3684	12
KOG3646	12
KOG4220	12
KOG4375	13
KOG3609	13
KOG4440	13
KOG1052	14
KOG4360	14
KOG4343	15
KOG0093	15
KOG3656	15
KOG4571	15
KOG4637	15
KOG3573	15
KOG4119	15
KOG4728	15
KOG1028	15
KOG4295	15
KOG0665	15
KOG3971	16
KOG3584	16
KOG0709	16
KOG3865	16
KOG0033	16
KOG0986	16
NOG02068	16
KOG1056	16
KOG3827	16
COG1301	17
KOG3717	17
KOG3764	17
COG0733	17
KOG1325	17
KOG4031	18
KOG3629	18
KOG0696	18
KOG1055	18
KOG1011	18
KOG2060	18
KOG3065	19
KOG1414	19
KOG3561	19
KOG2408	19
KOG1772	19
NOG01633	19
KOG3500	19
KOG3533	20
COG2066	21
COG1231	22
COG2124	22
COG0076	22
KOG0082	22
KOG1654	22
COG1226	22
COG1390	22
COG2272	22
COG0591	22
KOG2301	22
COG0303	22
KOG0169	22
COG3186	22
COG1502	22
COG0174	22
COG4122	22
COG0160	22
COG5038	22
KOG0286	22
KOG2532	22
COG5158	23
COG0639	23
COG5074	23
COG1100	23
COG0531	23
COG0636	23
COG2126	23
COG5096	23
COG1156	23
COG5126	23
COG1394	23
COG1527	23
COG2453	23
COG0699	23
COG0515	23
COG5032	23
COG0666	23
COG5030	23
KOG2562	23
COG1269	23
COG5127	23
KOG0660	23
KOG0581	23
COG0814	23
COG5143	23
COG0194	23
KOG0616	23
COG5059	23
KOG2085	23
COG1155	23
COG2114	23
KOG0032	23
COG5231	23
COG4354	23
KOG0938	23
KOG0211	23
KOG1586	23
COG5170	23
COG0464	23
KOG0985	23
COG1436	23
