Auxenochlorella protothecoides
Setaria italica
Schizosaccharomyces japonicus
Schizosaccharomyces octosporus
Pichia kudriavzevii
Millerozyma farinosa
Yarrowia lipolytica
Taphrina deformans
Bipolaris zeicola
Sordaria macrospora
Sclerotinia sclerotiorum
Rhodotorula toruloides
Puccinia graminis
Schizophyllum commune
Coprinopsis cinerea
Colletotrichum orbiculare
[Candida] glabrata
Candida maltosa
Candida parapsilosis
Fusarium graminearum
Leishmania panamensis
Trypanosoma cruzi
Dictyostelium purpureum
Cryptosporidium muris
Plasmodium vinckei
Babesia bovis
Theileria equi
Theileria annulata
Ichthyophthirius multifiliis
Schistosoma mansoni
Bursaphelenchus xylophilus
Trichinella spiralis
Loa loa
Nasonia vitripennis
Strongylocentrotus purpuratus
Astyanax mexicanus
Oreochromis niloticus
Arthrobotrys oligospora
Talaromyces stipitatus
Neospora caninum
Gaeumannomyces graminis
Sporothrix schenckii
Tetranychus urticae
Uncinocarpus reesii
Mixia osmundae
Strongyloides ratti
Thermothielavioides terrestris
Mucor circinelloides
Pythium irregulare
Aspergillus fischeri
Penicillium digitatum
Lodderomyces elongisporus
Talaromyces marneffei
Chaetomium globosum
Panicum virgatum
Aspergillus kawachii
Bathycoccus prasinos
Pneumocystis jirovecii
Phytopythium vexans
Candida dubliniensis
Capronia epimyces
Capronia coronata
Bipolaris sorokiniana
Eremothecium cymbalariae
Yamadazyma tenuis
Entamoeba dispar
Poecilia formosa
Ciona savignyi
Pyrenophora teres
Guillardia theta
Nannizzia gypsea
Microsporum canis
Trichophyton equinum
Dothistroma septosporum
Globisporangium ultimum
Theileria orientalis
Microplitis demolitor
Penicillium oxalicum
Thermothelomyces thermophilus
Mortierella verticillata
Monosiga brevicollis
Trichosporon asahii
Cladophialophora carrionii
Exserohilum turcicum
Hammondia hammondi
Fusarium pseudograminearum
Bipolaris oryzae
Glarea lozoyensis
Acromyrmex echinatior
Gloeophyllum trabeum
Gregarina niphandrodes
Saprolegnia diclina
Pythium iwayamai
Bombus impatiens
[Nectria] haematococca
Magnaporthiopsis poae
Aphanomyces invadans
Beauveria bassiana
Python bivittatus
Melampsora larici-populina
Chaetomium thermophilum
Moniliophthora roreri
Grosmannia clavigera
Cynoglossus semilaevis
Wallemia ichthyophaga
Tupaia chinensis
Coccomyxa subellipsoidea
Pneumocystis murina
Capsella grandiflora
Candida orthopsilosis
Cyphellophora europaea
Micromonas commoda
Neofusicoccum parvum
Pyricularia oryzae
Phytophthora kernoviae
Pseudozyma hubeiensis
Pyronema omphalodes
Spathaspora passalidarum
Endocarpon pusillum
Pestalotiopsis fici
Baudoinia compniacensis
Cladophialophora yegresii
Thecamonas trahens
Chlorella variabilis
Rhizophagus irregularis
Pseudogymnoascus destructans
Fonticula alba
Marssonina brunnea
Colletotrichum fioriniae
Schizosaccharomyces cryophilus
Rhizopus delemar
Salpingoeca rosetta
Ogataea parapolymorpha
Wickerhamomyces ciferrii
Paracoccidioides lutzii
Verticillium alfalfae
Penicillium rubens
Colletotrichum sublineola
Cladophialophora psammophila
Kalmanozyma brasiliensis
Caenorhabditis tropicalis
