Auxenochlorella protothecoides
Pichia kudriavzevii
Millerozyma farinosa
Yarrowia lipolytica
Sclerotinia sclerotiorum
Rhodotorula toruloides
[Candida] glabrata
Babesia bovis
Ichthyophthirius multifiliis
Bursaphelenchus xylophilus
Loa loa
Astyanax mexicanus
Neospora caninum
Gaeumannomyces graminis
Sporothrix schenckii
Tetranychus urticae
Uncinocarpus reesii
Mixia osmundae
Strongyloides ratti
Thermothielavioides terrestris
Lodderomyces elongisporus
Bathycoccus prasinos
Phytopythium vexans
Yamadazyma tenuis
Guillardia theta
Nannizzia gypsea
Microsporum canis
Dothistroma septosporum
Globisporangium ultimum
Microplitis demolitor
Thermothelomyces thermophilus
Mortierella verticillata
Trichosporon asahii
Cladophialophora carrionii
Exserohilum turcicum
Hammondia hammondi
Glarea lozoyensis
Gregarina niphandrodes
[Nectria] haematococca
Magnaporthiopsis poae
Aphanomyces invadans
Moniliophthora roreri
Cyphellophora europaea
Pyricularia oryzae
Pseudozyma hubeiensis
Spathaspora passalidarum
Endocarpon pusillum
Pestalotiopsis fici
Baudoinia compniacensis
Cladophialophora yegresii
Thecamonas trahens
Pseudogymnoascus destructans
Fonticula alba
Marssonina brunnea
Rhizopus delemar
Salpingoeca rosetta
Ogataea parapolymorpha
Wickerhamomyces ciferrii
Cladophialophora psammophila
Kalmanozyma brasiliensis
